Model,Scenario,Region,Variable,Unit,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075
Human Development Index Model (2015),SSP1,China (R9),Human Development Index [weighted by Population],,0.6484870869236172,0.6807559958175678,0.7141027906595186,0.7387216565454882,0.7570318129976772,0.7708979134524003,0.7820765846812706,0.7916733168742663,0.79801970633969,0.8018190252019279,0.8027869182496981,0.8043673415744431,0.8062414374624132,0.8079013561056285
Human Development Index Model (2015),SSP1,China+ (R10),Human Development Index [unweighted mean],,0.7407083,0.75732189375,0.77480672,0.78906375075,0.80128285275,0.81148534375,0.8205753215,0.8285567655,0.833668298,0.83630592225,0.836060984,0.83641805375,0.8370913772499999,0.837695226
Human Development Index Model (2015),SSP1,China+ (R10),Human Development Index [weighted by GDP],,0.676994084720266,0.7008998056200956,0.7279970020982413,0.7487577552881602,0.7647133312316172,0.7771442227722629,0.7874270921346402,0.7963965139456726,0.8023308711142526,0.8058768117580378,0.806643351972734,0.8080862870337199,0.8098880069513164,0.8115255167481623
Human Development Index Model (2015),SSP1,China+ (R10),Human Development Index [weighted by Population],,0.6550142104209051,0.6863780567595631,0.7187533178508825,0.7426975051619156,0.7605748961295735,0.7741578862309373,0.7851469906577099,0.7945909526710008,0.8008233093587541,0.8045299299553625,0.8054210719936757,0.8069414366313461,0.8087658329513427,0.8103902402093356
Human Development Index Model (2015),SSP1,Colombia,Human Development Index,,0.669541795,0.687486489,0.70675233,0.72423494,0.740091397,0.753416064,0.767014228,0.780024421,0.789722411,0.795692194,0.797717244,0.799257503,0.80045669,0.801450939
Human Development Index Model (2015),SSP1,Comoros,Human Development Index,,0.419056984,0.44230698,0.469005663,0.499885114,0.529241889,0.556695001,0.583616733,0.607448089,0.629679851,0.647291191,0.660715323,0.672845389,0.683913462,0.693629832
Human Development Index Model (2015),SSP1,Congo,Human Development Index,,0.519676837,0.548224397,0.590506137,0.628029512,0.658578015,0.682191677,0.70169832,0.718439386,0.730581888,0.740149076,0.746849019,0.75416333,0.7616179,0.768408383
Human Development Index Model (2015),SSP1,Costa Rica,Human Development Index,,0.698483227,0.712994669,0.727159029,0.739307447,0.750081191,0.758938305,0.767319672,0.775439689,0.782787694,0.788874373,0.791927984,0.794468887,0.796903648,0.799308616
Human Development Index Model (2015),SSP1,Croatia,Human Development Index,,0.762104119,0.774915173,0.787181878,0.798490219,0.808297603,0.816035826,0.822623797,0.828049791,0.830911945,0.831757096,0.830469293,0.830361749,0.831101908,0.83209684
Human Development Index Model (2015),SSP1,Cuba,Human Development Index,,0.701235634,0.715767892,0.733743201,0.747715138,0.759440012,0.768326922,0.776009493,0.782262637,0.785673607,0.7871816,0.786432615,0.787029544,0.788523075,0.790288658
Human Development Index Model (2015),SSP1,Cyprus,Human Development Index,,0.823626686,0.837001526,0.854877198,0.870712142,0.882278506,0.889991844,0.896078379,0.900878396,0.902620217,0.902087451,0.898935346,0.896734019,0.895238578,0.893986286
Human Development Index Model (2015),SSP1,Czechia,Human Development Index,,0.81177614,0.819268604,0.824673464,0.829367722,0.834991062,0.840840044,0.847160742,0.852725307,0.855345385,0.855780996,0.853773259,0.853242309,0.853473512,0.854075592
Human Development Index Model (2015),SSP1,Côte d'Ivoire,Human Development Index,,0.408574523,0.439825611,0.472969508,0.504357521,0.537430065,0.569435278,0.600416098,0.629613971,0.653546583,0.673203051,0.688790957,0.703025952,0.715910781,0.727060381
Human Development Index Model (2015),SSP1,Democratic Republic of the Congo,Human Development Index,,0.284879925,0.359604107,0.455001645,0.530397588,0.584007351,0.622021458,0.651282253,0.675385264,0.693553941,0.707390504,0.717934421,0.72787572,0.736656403,0.744498994
Human Development Index Model (2015),SSP1,Denmark,Human Development Index,,0.82908314,0.832137427,0.835650012,0.840785658,0.84622873,0.851160188,0.856064506,0.860494279,0.862629633,0.862865953,0.860514224,0.859281379,0.85877076,0.858544618
Human Development Index Model (2015),SSP1,Dominican Republic,Human Development Index,,0.681429936,0.699815784,0.718219837,0.73322691,0.747617689,0.760652897,0.77253672,0.783082367,0.790109763,0.794185341,0.794860078,0.795788344,0.797094378,0.798565941
Human Development Index Model (2015),SSP1,Ecuador,Human Development Index,,0.676398397,0.694739546,0.717363318,0.739062793,0.758090973,0.773346591,0.787474764,0.800115564,0.809347625,0.814936219,0.816801031,0.818334006,0.81975059,0.820890422
Human Development Index Model (2015),SSP1,Egypt,Human Development Index,,0.628448877,0.651817895,0.675638992,0.697429332,0.718224294,0.736996266,0.754122558,0.769013857,0.779793664,0.786941227,0.790264508,0.793150281,0.795546145,0.797322519
Human Development Index Model (2015),SSP1,El Salvador,Human Development Index,,0.616404702,0.636466328,0.65671207,0.677247765,0.696401887,0.713691459,0.731057811,0.747330501,0.760114888,0.769211603,0.773991211,0.77811637,0.781727509,0.784889252
Human Development Index Model (2015),SSP1,Equatorial Guinea,Human Development Index,,0.597752724,0.629441137,0.654001775,0.670486051,0.685999706,0.702052826,0.71679855,0.731885758,0.742757493,0.75056319,0.755315009,0.759970226,0.764716715,0.768991714
Human Development Index Model (2015),SSP1,Estonia,Human Development Index,,0.782575485,0.791745239,0.801618085,0.811944451,0.820189468,0.826087158,0.830883084,0.834494996,0.835682103,0.835487198,0.833319734,0.832631356,0.832769558,0.833231768
Human Development Index Model (2015),SSP1,Eswatini,Human Development Index,,0.52194883,0.552364941,0.578494039,0.606459795,0.633670027,0.657562053,0.678141604,0.697006601,0.710908443,0.722195545,0.730229219,0.737612857,0.744222144,0.750344158
Human Development Index Model (2015),SSP1,Ethiopia,Human Development Index,,0.358364854,0.406427207,0.453823169,0.486738406,0.516849233,0.544929368,0.57236993,0.599108803,0.621849418,0.641741404,0.658309031,0.674310777,0.68932187,0.70417715
Human Development Index Model (2015),SSP1,Europe (R10),Human Development Index [unweighted mean],,0.7991943112857143,0.8101964594,0.8238923598,0.8367867885142857,0.8477384915714286,0.8562782692285714,0.8636123986857143,0.8696952666571428,0.8729280679714286,0.8739637061428571,0.8723371502,0.8717435302285714,0.8718114444857143,0.8720364943714286
Human Development Index Model (2015),SSP1,Europe (R10),Human Development Index [weighted by GDP],,0.8160503388665632,0.8244479950109239,0.8354764766798417,0.84678139799156,0.8568335583459491,0.8650754311778613,0.8724526207581638,0.8788909258176771,0.8826910430490915,0.8843778135831387,0.8833379715151177,0.8832825128285945,0.8838342709405748,0.8844924288797016
Human Development Index Model (2015),SSP1,Europe (R10),Human Development Index [weighted by Population],,0.7972359032462587,0.8075313338428618,0.8211887418815678,0.8348737111182146,0.8469319806485253,0.8567731540390201,0.8653653792599177,0.8727361604749655,0.8773494872817235,0.8797431110613849,0.8792816124994667,0.8796630282673599,0.8805455847404435,0.8814542911918217
Human Development Index Model (2015),SSP1,European Union (R9),Human Development Index [unweighted mean],,0.8044705440000001,0.8149420252962963,0.8273512210740741,0.8392079459259258,0.849406680074074,0.8573834958518518,0.8642710185555555,0.8699886731111112,0.8728572531111112,0.873551446,0.871632260074074,0.8707813181851852,0.870614588962963,0.8706344345185185
Human Development Index Model (2015),SSP1,European Union (R9),Human Development Index [weighted by GDP],,0.8233911946088865,0.832371210346042,0.8432623389667522,0.8541882423301201,0.8638432563215259,0.8716544565665534,0.8786144484449591,0.8846406218783741,0.8878370611033448,0.8888692962623022,0.887147237021025,0.8864337880295191,0.8863583311984963,0.8864221206112631
Human Development Index Model (2015),SSP1,European Union (R9),Human Development Index [weighted by Population],,0.813716741435567,0.8233713460073891,0.835974809450531,0.848428774168377,0.8593690626532522,0.868151654285517,0.8757545945775362,0.8822107779595671,0.8857342735552505,0.8870236883661805,0.8855367357139591,0.885029946815825,0.8851269081272147,0.8853140003616938
Human Development Index Model (2015),SSP1,Finland,Human Development Index,,0.85652251,0.861516586,0.867690244,0.874077597,0.879893884,0.884032452,0.887719342,0.890795382,0.891307001,0.889674383,0.88557624,0.88262284,0.880565767,0.878685661
Human Development Index Model (2015),SSP1,France,Human Development Index,,0.825748111,0.835516612,0.84990415,0.864864844,0.877989525,0.888346129,0.897005476,0.904109255,0.907839476,0.909036104,0.907020918,0.90575277,0.904987045,0.904291439
Human Development Index Model (2015),SSP1,Gabon,Human Development Index,,0.611691512,0.639534098,0.660493722,0.677297331,0.693258228,0.708500939,0.722809064,0.736039192,0.745490675,0.753197678,0.758484854,0.763765221,0.768658547,0.772833528
Human Development Index Model (2015),SSP1,Gambia,Human Development Index,,0.447175642,0.489375845,0.528475851,0.560701904,0.589835706,0.614970409,0.63759878,0.658396393,0.674798669,0.688585268,0.698799492,0.70823622,0.716681629,0.723981466
Human Development Index Model (2015),SSP1,Georgia,Human Development Index,,0.711020317,0.742407185,0.790988859,0.823859502,0.839812101,0.845594397,0.84792505,0.849833285,0.850715708,0.851057823,0.849845865,0.849819447,0.850476305,0.851220313
Human Development Index Model (2015),SSP1,Germany,Human Development Index,,0.870534427,0.873746337,0.87727652,0.881041127,0.885198103,0.889084175,0.893364643,0.897514799,0.899355928,0.899434127,0.89702752,0.895872216,0.89538312,0.895047048
Human Development Index Model (2015),SSP1,Ghana,Human Development Index,,0.500180269,0.530966884,0.561275747,0.587884323,0.615020884,0.641561257,0.667051253,0.691276032,0.710594973,0.726131016,0.737453235,0.747470625,0.756282165,0.763770108
Human Development Index Model (2015),SSP1,Greece,Human Development Index,,0.791997806,0.803457438,0.817356939,0.831694725,0.845495611,0.856651636,0.866386706,0.874265817,0.878640722,0.880380194,0.878969945,0.878300269,0.878011172,0.877780211
Human Development Index Model (2015),SSP1,Guatemala,Human Development Index,,0.548470531,0.572606492,0.598404583,0.622333377,0.643550021,0.661683069,0.678154135,0.692319109,0.703682111,0.712297545,0.717944425,0.723639923,0.729057655,0.733692247
Human Development Index Model (2015),SSP1,Guinea,Human Development Index,,0.337876037,0.376249506,0.41516034,0.452578542,0.490916715,0.528213013,0.564055495,0.596678894,0.62360431,0.645621734,0.662579219,0.677543279,0.690888903,0.702566887
Human Development Index Model (2015),SSP1,Guinea-Bissau,Human Development Index,,0.346886656,0.386520345,0.424186811,0.457604013,0.488281169,0.517153198,0.544452667,0.570255563,0.592383243,0.611584122,0.628066205,0.643670374,0.657536914,0.669732905
Human Development Index Model (2015),SSP1,Guyana,Human Development Index,,0.607754955,0.617029043,0.629823235,0.644534997,0.660592207,0.676092671,0.690705256,0.703470504,0.713594662,0.720785722,0.7247616,0.728471454,0.731832313,0.734773691
Human Development Index Model (2015),SSP1,Haiti,Human Development Index,,0.440542938,0.472745837,0.512993528,0.552660531,0.590530658,0.623536028,0.652694769,0.67693864,0.696087394,0.712002425,0.723957185,0.734268334,0.742996442,0.749945164
Human Development Index Model (2015),SSP1,Honduras,Human Development Index,,0.556805399,0.579723857,0.604961236,0.628625078,0.649478947,0.667636821,0.684287831,0.699095581,0.710948057,0.719993411,0.725683357,0.732200513,0.738825603,0.744691293
Human Development Index Model (2015),SSP1,Hong Kong,Human Development Index,,0.865079985,0.875922858,0.886950274,0.896440601,0.905598347,0.913843681,0.921798844,0.928471716,0.931997989,0.932749359,0.930300387,0.928685508,0.927438931,0.926136
Human Development Index Model (2015),SSP1,Hungary,Human Development Index,,0.75613089,0.766666849,0.779160128,0.79182137,0.802435915,0.810516561,0.817212849,0.822709853,0.825688686,0.826799408,0.825574486,0.82537592,0.825865109,0.826698291
Human Development Index Model (2015),SSP1,Iceland,Human Development Index,,0.860691122,0.868675148,0.880236976,0.892837686,0.904154282,0.9134664,0.921684127,0.928778003,0.932910367,0.934811237,0.933608142,0.933158546,0.933149197,0.93291401
Human Development Index Model (2015),SSP1,India,Human Development Index,,0.538066062,0.576602694,0.624053071,0.663965436,0.695166581,0.719797361,0.740112647,0.755876089,0.766058394,0.772083326,0.774494009,0.776872012,0.779367786,0.781757107
Human Development Index Model (2015),SSP1,India (R9),Human Development Index [unweighted mean],,0.538066062,0.576602694,0.624053071,0.663965436,0.695166581,0.719797361,0.740112647,0.755876089,0.766058394,0.772083326,0.774494009,0.776872012,0.779367786,0.781757107
Human Development Index Model (2015),SSP1,India (R9),Human Development Index [weighted by GDP],,0.538066062,0.576602694,0.624053071,0.663965436,0.695166581,0.719797361,0.740112647,0.7558760889999999,0.766058394,0.772083326,0.774494009,0.776872012,0.7793677859999999,0.781757107
Human Development Index Model (2015),SSP1,India (R9),Human Development Index [weighted by Population],,0.538066062,0.576602694,0.624053071,0.663965436,0.695166581,0.719797361,0.7401126469999999,0.755876089,0.766058394,0.772083326,0.7744940089999999,0.776872012,0.7793677859999999,0.781757107
Human Development Index Model (2015),SSP1,India+ (R10),Human Development Index [unweighted mean],,0.5158312443333334,0.5480048255,0.5843304901666667,0.6155347201666667,0.6427920311666667,0.6670394298333333,0.6895119916666667,0.7097180703333333,0.7260428215,0.7389919620000001,0.748306318,0.7570515793333333,0.7648168791666667,0.7713625478333334
Human Development Index Model (2015),SSP1,India+ (R10),Human Development Index [weighted by GDP],,0.5287903110288991,0.5665161290241875,0.6121484681483533,0.6508917268996113,0.6815845537242513,0.7061287562409635,0.7266124151974664,0.7428289035332823,0.7537975866211724,0.7608080853979254,0.7643368738367394,0.7678114074422898,0.7712585676425058,0.7744026966908001
Human Development Index Model (2015),SSP1,India+ (R10),Human Development Index [weighted by Population],,0.5246422700616254,0.5604685733151952,0.603601445397426,0.6405741787304058,0.670552925632062,0.6952322686454665,0.7164270474387131,0.7337319192288193,0.7460141177268101,0.7543236312799997,0.7590335767715154,0.7634948495826103,0.7677413939255475,0.771503393178565
Human Development Index Model (2015),SSP1,Indonesia,Human Development Index,,0.604782395,0.629385579,0.664851039,0.695934066,0.720747413,0.739645465,0.756418614,0.770597501,0.780619169,0.786915372,0.789506234,0.792245528,0.795318276,0.798418709
Human Development Index Model (2015),SSP1,Iran,Human Development Index,,0.671779241,0.696201804,0.717280883,0.733355305,0.747721958,0.761214849,0.775071519,0.787882094,0.797336984,0.803574673,0.8062932,0.808982232,0.811750458,0.814539816
Human Development Index Model (2015),SSP1,Iraq,Human Development Index,,0.600209698,0.632007705,0.681180614,0.721199285,0.74847183,0.765841893,0.77775511,0.786422726,0.791897777,0.795015306,0.79558907,0.797131711,0.799368068,0.801818501
Human Development Index Model (2015),SSP1,Ireland,Human Development Index,,0.851234907,0.859716639,0.869730245,0.88157439,0.8922666,0.900684793,0.90737348,0.912620506,0.914995282,0.915002917,0.912177888,0.910303959,0.90886354,0.907498683
Human Development Index Model (2015),SSP1,Israel,Human Development Index,,0.815636093,0.819610706,0.821373034,0.823914771,0.828023128,0.832455068,0.837432571,0.841944798,0.843826655,0.843309133,0.840332934,0.838626284,0.838124513,0.838309971
Human Development Index Model (2015),SSP1,Italy,Human Development Index,,0.805702325,0.815408922,0.831517446,0.849372909,0.864796858,0.876914302,0.886467369,0.894196227,0.898482312,0.900206852,0.898969981,0.898696364,0.899074412,0.899514196
Human Development Index Model (2015),SSP1,Jamaica,Human Development Index,,0.667859241,0.678601273,0.699705679,0.723391378,0.743362857,0.758102203,0.768957273,0.776872165,0.78097828,0.7826952,0.782075789,0.782600605,0.784051464,0.785943778
Human Development Index Model (2015),SSP1,Japan,Human Development Index,,0.8667341,0.870000555,0.874447308,0.88009957,0.886227884,0.891422247,0.896219965,0.900366322,0.902159109,0.901780035,0.898663703,0.896673815,0.89548209,0.894767496
Human Development Index Model (2015),SSP1,Jordan,Human Development Index,,0.672737716,0.693463076,0.722747324,0.748613221,0.769021558,0.783906738,0.795381456,0.804235714,0.809493232,0.812088099,0.811626162,0.811702078,0.812082338,0.812341431
Human Development Index Model (2015),SSP1,Kazakhstan,Human Development Index,,0.696178721,0.719562596,0.74124123,0.756094358,0.766064088,0.773378367,0.779451727,0.784674616,0.787708798,0.78904206,0.788341255,0.788706156,0.789836245,0.791126661
Human Development Index Model (2015),SSP1,Kenya,Human Development Index,,0.488944855,0.517748486,0.55695742,0.592330085,0.625186341,0.65243349,0.676440176,0.697044343,0.711923235,0.722932088,0.730089922,0.736471836,0.742268041,0.747263254
Human Development Index Model (2015),SSP1,Kuwait,Human Development Index,,0.762904167,0.776431939,0.787120093,0.7934345,0.798500761,0.804083929,0.810771035,0.817971326,0.823839468,0.828412301,0.83021029,0.832423761,0.834715488,0.836686147
Human Development Index Model (2015),SSP1,Kyrgyzstan,Human Development Index,,0.57421651,0.609002037,0.671408792,0.72139921,0.751796044,0.768662944,0.778521476,0.784255778,0.786728721,0.787227973,0.785675648,0.785330579,0.785903173,0.786836768
Human Development Index Model (2015),SSP1,Laos,Human Development Index,,0.498303135,0.526743491,0.553318861,0.574193632,0.592330799,0.608759499,0.624498413,0.639280414,0.651584425,0.661553669,0.669968368,0.678836435,0.687256821,0.694422953
Human Development Index Model (2015),SSP1,Latin America (R10),Human Development Index [unweighted mean],,0.6608090378571428,0.6776961198571428,0.697248873,0.7152601039642857,0.7314798632857142,0.7453508175714285,0.7582351897499999,0.76957375775,0.77792995825,0.7836202858571429,0.7861803923214286,0.7889450134642857,0.7918184478214286,0.7944973839999999
Human Development Index Model (2015),SSP1,Latin America (R10),Human Development Index [weighted by GDP],,0.6859406651829238,0.7025583132157754,0.721772342509486,0.7392871854212747,0.7544513011696281,0.7673409357739104,0.7794598171692235,0.7900266856105319,0.797263201561365,0.8015828941354574,0.802746817464551,0.8043908190914865,0.8063092432149243,0.8082851871376343
Human Development Index Model (2015),SSP1,Latin America (R10),Human Development Index [weighted by Population],,0.6725508870907496,0.6891042607692242,0.7091607414126272,0.7277065668773359,0.744109875285346,0.7582675612064876,0.7716384153461896,0.7833011821402343,0.7915170173273727,0.7967061809365303,0.7986149245380827,0.8008472135791073,0.8032487386463125,0.8056444890636849
Human Development Index Model (2015),SSP1,Latin America (R5),Human Development Index [unweighted mean],,0.6608090378571428,0.6776961198571428,0.697248873,0.7152601039642857,0.7314798632857142,0.7453508175714285,0.7582351897499999,0.76957375775,0.77792995825,0.7836202858571429,0.7861803923214286,0.7889450134642857,0.7918184478214286,0.7944973839999999
Human Development Index Model (2015),SSP1,Latin America (R5),Human Development Index [weighted by GDP],,0.6859406651829238,0.7025583132157754,0.721772342509486,0.7392871854212747,0.7544513011696281,0.7673409357739104,0.7794598171692235,0.7900266856105319,0.797263201561365,0.8015828941354574,0.802746817464551,0.8043908190914865,0.8063092432149243,0.8082851871376343
Human Development Index Model (2015),SSP1,Latin America (R5),Human Development Index [weighted by Population],,0.6725508870907496,0.6891042607692242,0.7091607414126272,0.7277065668773359,0.744109875285346,0.7582675612064876,0.7716384153461896,0.7833011821402343,0.7915170173273727,0.7967061809365303,0.7986149245380827,0.8008472135791073,0.8032487386463125,0.8056444890636849
